,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
1606,E01001637,Greenwich 009D,9,16.55,10.27,1242,18.6,95,7,34040.0,201325.0
1607,E01001638,Greenwich 038A,30,14.11,8.93,1383,10.8,192,9,32790.0,233495.0
1608,E01001640,Greenwich 035A,19,17.06,4.92,1769,13.8,171,13,44990.0,235833.0
1609,E01001641,Greenwich 038B,52,16.33,10.78,1317,37.2,48,3,42910.0,441333.0
1610,E01001642,Greenwich 038C,10,17.15,14.41,1167,119.6,15,2,43090.0,662667.0
1611,E01001644,Greenwich 038D,25,14.24,6.03,1811,19.1,122,4,40910.0,268500.0
1612,E01001645,Greenwich 022A,10,33.12,14.39,1125,29.0,59,6,47130.0,195958.0
1613,E01001646,Greenwich 019A,15,26.32,5.7,2076,21.1,136,8,40630.0,196575.0
1614,E01001647,Greenwich 022B,17,33.85,16.57,950,34.7,43,4,40650.0,287333.0
1615,E01001648,Greenwich 022C,10,32.04,11.36,1234,41.7,42,5,39040.0,255250.0
1616,E01001649,Greenwich 022D,9,34.99,10.06,1053,33.2,47,8,37390.0,205333.0
1617,E01001650,Greenwich 019B,16,37.56,13.31,1179,20.9,85,8,42710.0,233500.0
1618,E01001651,Greenwich 019C,22,23.55,13.09,1140,30.7,57,8,38040.0,196666.0
1619,E01001652,Greenwich 019D,22,33.0,16.27,1106,26.6,62,3,38500.0,288500.0
1620,E01001653,Greenwich 029A,7,29.07,10.58,1000,26.6,59,10,34400.0,155167.0
1621,E01001654,Greenwich 029B,17,44.26,13.33,925,30.1,50,11,37590.0,203833.0
1622,E01001655,Greenwich 029C,17,26.5,8.74,998,43.5,35,11,32600.0,157750.0
1623,E01001656,Greenwich 034A,9,29.0,18.95,787,27.6,46,5,34680.0,404558.0
1624,E01001657,Greenwich 034B,26,24.73,15.92,979,40.4,38,3,35380.0,383500.0
1625,E01001658,Greenwich 034C,19,33.58,18.07,978,43.5,36,5,35680.0,202333.0
1626,E01001659,Greenwich 034D,14,25.26,17.85,943,37.8,38,4,31480.0,355417.0
1627,E01001660,Greenwich 029D,12,42.12,13.81,983,33.5,46,10,30140.0,264750.0
1628,E01001661,Greenwich 029E,14,19.27,16.75,961,45.5,34,8,29700.0,193825.0
1629,E01001662,Greenwich 037A,8,27.82,8.04,1269,23.6,70,2,32590.0,382667.0
1630,E01001664,Greenwich 037B,12,25.17,11.63,1386,15.6,123,3,30940.0,420833.0
1631,E01001665,Greenwich 037C,10,29.56,5.43,1478,18.6,103,3,29320.0,407500.0
1632,E01001666,Greenwich 036A,20,34.39,8.8,1125,43.2,35,5,34450.0,247500.0
1633,E01001667,Greenwich 036B,26,34.17,12.77,1094,136.3,12,7,32490.0,244650.0
1634,E01001668,Greenwich 036C,39,26.08,10.68,1719,23.2,107,7,31950.0,350000.0
1635,E01001669,Greenwich 033A,17,11.77,9.25,1299,50.4,39,9,34680.0,176517.0
1636,E01001671,Greenwich 033B,15,11.55,9.9,1091,19.6,84,6,36000.0,170865.0
1637,E01001672,Greenwich 006A,13,8.58,6.66,1467,36.0,58,9,44010.0,165750.0
1638,E01001673,Greenwich 006B,15,5.22,11.3,1337,17.5,112,7,50340.0,180500.0
1639,E01001674,Greenwich 006C,18,7.39,10.63,1332,21.4,94,7,42980.0,182750.0
1640,E01001675,Greenwich 006D,17,3.66,7.51,1503,15.5,133,8,34800.0,180750.0
1641,E01001676,Greenwich 033C,20,8.65,5.64,1230,13.1,143,14,35750.0,190833.0
1642,E01001677,Greenwich 006E,12,3.75,6.34,1446,20.1,103,8,37290.0,179333.0
1643,E01001678,Greenwich 017A,9,20.04,14.88,1106,26.2,64,3,38680.0,196667.0
1644,E01001679,Greenwich 020A,15,35.2,10.7,910,21.3,64,4,34190.0,218748.0
1645,E01001680,Greenwich 020B,10,30.42,19.15,986,60.9,26,1,33410.0,286917.0
1646,E01001681,Greenwich 020C,7,23.35,9.47,861,15.6,81,5,32220.0,224542.0
1647,E01001682,Greenwich 020D,15,27.15,16.6,851,87.0,16,5,38600.0,233833.0
1648,E01001683,Greenwich 017B,16,16.19,9.01,1075,13.3,117,6,30210.0,186667.0
1649,E01001684,Greenwich 017C,28,31.88,12.2,965,118.6,12,9,31300.0,205000.0
1650,E01001685,Greenwich 017D,22,16.06,13.86,1051,18.1,85,5,29820.0,175708.0
1651,E01001686,Greenwich 020E,12,29.79,8.95,1224,17.0,105,9,40760.0,188833.0
1652,E01001687,Greenwich 002A,26,14.14,7.84,1012,41.6,34,7,44340.0,140667.0
1653,E01001688,Greenwich 002B,26,22.1,7.17,1619,35.5,73,13,37950.0,163333.0
1654,E01001690,Greenwich 001A,9,23.61,8.1,1315,13.6,147,9,38890.0,163000.0
1655,E01001692,Greenwich 001B,10,30.09,5.98,915,7.4,189,13,32410.0,148500.0
1656,E01001693,Greenwich 001C,18,30.69,6.07,1031,13.6,117,12,32610.0,174250.0
1657,E01001694,Greenwich 001D,18,25.26,6.27,1172,38.4,46,8,44200.0,163750.0
1658,E01001695,Greenwich 011A,16,19.56,10.22,1123,10.0,163,7,43000.0,192167.0
1659,E01001696,Greenwich 011B,15,22.31,5.77,896,14.1,93,12,42580.0,142125.0
1660,E01001697,Greenwich 011C,18,23.24,4.65,1564,15.2,150,10,37890.0,193000.0
1661,E01001698,Greenwich 015A,5,27.15,4.97,1227,12.9,141,12,33730.0,149167.0
1662,E01001699,Greenwich 015B,8,30.88,3.03,1431,68.7,27,10,39210.0,153083.0
1663,E01001700,Greenwich 011D,13,21.3,5.47,1454,14.3,147,10,33620.0,173917.0
1664,E01001701,Greenwich 015C,20,32.87,6.62,1061,95.8,18,7,35310.0,178667.0
1665,E01001702,Greenwich 015D,1,30.13,5.6,1031,8.5,200,15,31600.0,157583.0
1666,E01001703,Greenwich 011E,12,24.23,3.85,1254,8.5,229,14,28860.0,152583.0
1667,E01001704,Greenwich 011F,8,21.29,9.85,1152,14.0,119,6,33030.0,193583.0
1668,E01001705,Greenwich 005A,17,31.07,5.26,1318,17.6,114,17,32120.0,105500.0
1669,E01001706,Greenwich 005B,8,28.48,6.16,992,11.2,123,13,31980.0,172667.0
1670,E01001708,Greenwich 005C,18,33.21,10.9,1080,17.7,91,7,33900.0,252500.0
1671,E01001709,Greenwich 004B,29,31.49,9.55,811,77.3,15,9,37000.0,155667.0
1672,E01001710,Greenwich 005D,19,24.96,6.86,1120,8.6,205,16,40840.0,202148.0
1673,E01001711,Greenwich 004C,10,26.73,4.22,1064,17.4,82,6,42920.0,136583.0
1674,E01001712,Greenwich 004D,5,20.68,7.6,1423,16.7,129,12,39930.0,182833.0
1675,E01001713,Greenwich 005E,7,27.62,7.51,1081,10.2,175,17,41250.0,233475.0
1676,E01001714,Hackney 002A,12,26.47,8.16,1074,15.0,99,10,36280.0,239500.0
1677,E01001715,Hackney 007A,30,23.95,2.84,1170,7.7,175,3,35480.0,330917.0
1678,E01001716,Hackney 007B,23,21.82,5.6,1028,8.0,165,6,35630.0,261667.0
1679,E01001717,Hackney 007C,3,23.78,5.25,909,9.8,125,7,37480.0,291983.0
1680,E01001718,Hackney 007D,30,19.96,3.83,1571,10.4,173,2,33670.0,345833.0
1681,E01001719,Hackney 007E,6,21.11,14.09,791,6.4,180,6,35790.0,218750.0
1682,E01001720,Hackney 007F,25,21.94,5.34,1511,10.1,179,3,31340.0,319167.0
1683,E01001722,Hackney 029A,8,16.91,7.05,1396,10.6,193,8,31110.0,236617.0
1684,E01001723,Hackney 006A,14,14.23,5.67,1443,11.8,170,3,30690.0,385833.0
1685,E01001724,Hackney 006B,22,14.41,4.28,1842,11.7,201,4,32700.0,247733.0
1686,E01001725,Hackney 004A,5,20.57,5.64,1084,9.5,197,8,28240.0,403734.0
1687,E01001726,Hackney 004B,4,19.76,4.91,933,5.1,277,13,27730.0,190667.0
1688,E01001727,Hackney 006C,5,20.2,5.79,1179,10.7,181,6,30830.0,312833.0
1689,E01001728,Hackney 029B,6,19.31,4.65,1164,9.1,226,12,30640.0,195833.0
1690,E01001729,Hackney 019A,20,21.85,5.14,1459,12.8,162,12,32130.0,147958.0
1691,E01001730,Hackney 019B,17,21.04,7.23,1345,13.1,160,13,31050.0,194375.0
1692,E01001731,Hackney 017A,27,18.6,4.42,1839,17.3,141,8,35630.0,241333.0
1693,E01001732,Hackney 019C,7,19.32,7.45,1149,6.5,268,16,30190.0,175955.0
1694,E01001733,Hackney 015A,27,22.68,7.04,1396,14.5,130,6,27780.0,374750.0
1695,E01001734,Hackney 017B,18,13.84,7.36,1426,13.4,138,6,33960.0,271499.0
1696,E01001735,Hackney 019D,12,15.85,10.89,1138,13.3,122,7,28900.0,289973.0
1697,E01001736,Hackney 012A,17,6.12,5.45,1246,9.0,184,4,30740.0,389833.0
1698,E01001737,Hackney 012B,19,12.31,5.39,1451,10.0,191,4,36550.0,413333.0
1699,E01001738,Hackney 012C,16,14.09,6.8,1334,9.1,194,3,30010.0,365895.0
1700,E01001739,Hackney 012D,31,10.99,7.64,1572,12.2,168,3,28120.0,415000.0
1701,E01001740,Hackney 014A,13,9.22,9.45,1042,8.7,182,14,33250.0,202658.0
1702,E01001741,Hackney 009A,21,8.03,5.92,1084,8.7,171,4,31780.0,565878.0
1703,E01001742,Hackney 008A,9,9.67,7.29,1306,12.5,141,8,29540.0,339583.0
1704,E01001744,Hackney 021B,11,20.93,10.25,1423,13.5,144,6,35690.0,330000.0
1705,E01001745,Hackney 016A,13,7.93,5.11,1740,11.2,208,10,33870.0,231167.0
1706,E01001746,Hackney 016B,1,11.08,4.92,1073,4.9,335,15,37450.0,235333.0
1707,E01001747,Hackney 014B,20,9.38,7.99,1731,14.2,153,5,45370.0,294750.0
1708,E01001748,Hackney 020A,17,14.48,5.02,1987,17.7,137,4,31050.0,311500.0
1709,E01001749,Hackney 020B,9,17.79,5.84,1379,10.7,164,4,41190.0,362333.0
1710,E01001750,Hackney 021C,20,24.69,8.38,1499,14.6,134,6,39020.0,333000.0
1711,E01001751,Hackney 021D,39,25.1,9.45,1259,15.4,103,2,40700.0,674992.0
1712,E01001752,Hackney 025A,7,18.82,4.97,1959,12.8,189,5,45550.0,400000.0
1713,E01001753,Hackney 025B,4,22.08,6.71,1137,7.5,223,13,38470.0,428324.0
1714,E01001754,Hackney 025C,22,21.98,6.28,1922,12.2,207,8,32710.0,303767.0
1715,E01001755,Hackney 025D,17,18.84,6.37,1288,10.2,177,12,42640.0,253667.0
1716,E01001756,Hackney 021E,45,20.92,7.59,1773,16.2,133,3,30140.0,422667.0
1717,E01001757,Hackney 016C,1,12.73,6.58,1224,5.0,354,11,40300.0,176333.0
1718,E01001758,Hackney 016D,12,13.1,7.15,1476,12.5,170,10,35810.0,236667.0
1719,E01001759,Hackney 016E,24,13.66,9.01,1359,10.3,178,8,38020.0,323333.0
1720,E01001760,Hackney 017C,19,14.0,8.17,1358,14.4,124,7,36740.0,250000.0
1721,E01001761,Hackney 016F,16,14.8,9.91,1392,10.7,172,6,38020.0,288000.0
1722,E01001762,Hackney 017D,16,16.68,5.85,1477,14.2,126,5,36300.0,331875.0
1723,E01001763,Hackney 020C,15,18.6,9.34,1286,10.9,163,6,33220.0,355500.0
1724,E01001764,Hackney 010A,15,9.82,6.59,1378,10.5,179,8,36940.0,274583.0
1725,E01001765,Hackney 010B,4,11.1,10.41,1175,12.6,145,11,45220.0,262667.0
1726,E01001767,Hackney 010D,11,16.77,6.29,1240,10.6,155,8,31730.0,398333.0
1727,E01001768,Hackney 006D,14,14.48,6.35,1404,10.2,180,5,42720.0,342167.0
1728,E01001769,Hackney 006E,8,9.31,5.74,1273,12.4,131,4,37690.0,316000.0
1729,E01001770,Hackney 010E,11,15.85,8.84,1288,13.0,140,9,40010.0,250250.0
1730,E01001772,Hackney 024A,10,25.52,7.56,733,6.6,157,11,44980.0,275000.0
1731,E01001773,Hackney 025E,25,23.26,7.85,1568,12.2,171,9,36000.0,305333.0
1732,E01001774,Hackney 024B,11,19.16,4.67,1647,18.0,120,10,44900.0,290000.0
1733,E01001775,Hackney 024C,8,16.88,8.41,1262,12.7,141,11,34430.0,268333.0
1734,E01001776,Hackney 025F,5,20.54,11.11,1046,10.2,139,8,41480.0,318333.0
1735,E01001777,Hackney 027B,38,17.97,4.97,1830,15.4,152,8,40240.0,338333.0
1736,E01001779,Hackney 026A,20,7.74,5.27,1894,13.9,180,9,38560.0,310000.0
1737,E01001780,Hackney 027D,37,12.71,8.36,1428,11.0,172,8,32830.0,283833.0
1738,E01001781,Hackney 026B,10,14.53,7.67,1236,15.1,110,12,41450.0,256667.0
1739,E01001782,Hackney 026C,13,11.35,6.11,1921,13.7,175,6,35080.0,452782.0
1740,E01001783,Hackney 026D,10,10.63,7.18,1411,6.1,315,10,29300.0,217333.0
1741,E01001784,Hackney 027E,12,15.82,6.0,1858,7.6,305,9,28740.0,249500.0
1742,E01001785,Hackney 015B,10,27.33,11.09,1061,9.1,168,10,34080.0,387500.0
1743,E01001786,Hackney 013A,36,38.05,7.41,1156,113.1,17,16,29340.0,215188.0
1744,E01001787,Hackney 013B,7,26.07,15.24,920,22.2,72,14,38380.0,229167.0
1745,E01001788,Hackney 013C,10,28.35,10.3,1000,11.5,141,11,35330.0,155500.0
1746,E01001789,Hackney 015C,10,22.97,7.26,1252,9.7,181,7,34520.0,345100.0
1747,E01001790,Hackney 013D,16,33.58,6.03,869,5.5,247,13,45020.0,161667.0
1748,E01001791,Hackney 015D,9,26.85,7.2,1023,10.4,147,11,46620.0,412750.0
1749,E01001792,Hackney 011A,20,19.78,8.49,1313,17.5,106,6,44300.0,425667.0
1750,E01001793,Hackney 011B,19,20.54,7.57,1267,16.0,106,6,45820.0,365833.0
1751,E01001794,Hackney 011C,12,16.84,12.13,1422,12.8,154,3,33940.0,360917.0
1752,E01001795,Hackney 011D,24,16.37,6.4,1180,10.2,152,5,49210.0,356167.0
1753,E01001796,Hackney 011E,14,19.57,5.13,1332,9.2,183,6,40530.0,366500.0
1754,E01001798,Hackney 028A,10,21.68,8.99,1207,10.5,176,11,37570.0,238083.0
1755,E01001799,Hackney 003A,8,20.93,5.87,916,10.6,151,4,33070.0,276265.0
1756,E01001800,Hackney 004C,9,18.35,6.43,1013,8.5,194,8,31340.0,264167.0
1757,E01001801,Hackney 008B,13,16.39,12.3,966,14.8,115,6,37440.0,283167.0
1758,E01001802,Hackney 003B,5,18.43,10.99,794,10.5,124,7,39250.0,242000.0
1759,E01001803,Hackney 008C,16,18.53,7.31,1280,16.4,118,5,42400.0,322500.0
1760,E01001804,Hackney 003C,7,21.29,8.14,889,11.1,136,8,38580.0,284500.0
1761,E01001805,Hackney 009B,9,12.39,5.83,976,14.7,85,4,48790.0,387535.0
1762,E01001806,Hackney 008D,8,14.32,9.39,1111,32.6,47,6,39560.0,275148.0
1763,E01001807,Hackney 003D,11,28.68,6.66,1244,11.7,159,6,32130.0,335458.0
1764,E01001808,Hackney 001A,18,25.01,4.72,1111,12.7,150,5,35720.0,371500.0
1765,E01001809,Hackney 001B,20,26.73,8.97,1143,11.4,179,5,33090.0,366250.0
1766,E01001811,Hackney 002D,9,30.18,10.14,1030,8.5,178,8,41670.0,249500.0
1767,E01001812,Hackney 003E,16,25.32,6.66,1105,24.7,74,8,30790.0,293750.0
1768,E01001813,Hackney 002E,13,30.03,8.78,906,9.8,133,14,32440.0,141667.0
1769,E01001814,Hackney 001C,14,26.81,6.73,1078,11.4,150,5,35230.0,274833.0
1770,E01001815,Hackney 024D,15,21.63,8.84,1255,10.9,162,10,35570.0,371500.0
1771,E01001816,Hackney 020D,22,21.84,9.68,1163,13.6,120,7,34230.0,563667.0
1772,E01001819,Hackney 020E,25,25.02,12.38,1140,13.6,115,5,37860.0,486500.0
1773,E01001820,Hackney 024E,15,22.46,9.85,1071,8.5,174,9,38820.0,304953.0
1774,E01001821,Hackney 024F,11,19.21,9.72,990,6.9,205,10,36000.0,256665.0
1775,E01001822,Hackney 029C,14,22.39,7.53,1177,8.4,218,10,30390.0,275000.0
1776,E01001823,Hackney 001D,15,28.35,5.37,1073,15.1,120,9,36960.0,308749.0
1777,E01001824,Hackney 004D,15,26.62,8.11,886,21.6,71,10,39980.0,340167.0
1778,E01001825,Hackney 001E,11,27.25,6.27,866,10.6,155,4,40100.0,291500.0
1779,E01001826,Hackney 004E,10,25.71,6.96,1017,11.3,157,9,32550.0,283333.0
1780,E01001827,Hackney 029D,12,26.37,8.07,1139,17.2,113,12,30420.0,207333.0
1781,E01001828,Hackney 028B,21,26.76,7.6,1335,11.1,187,13,33340.0,192833.0
1782,E01001829,Hackney 009C,23,6.47,6.36,1301,11.2,159,3,35600.0,559000.0
1783,E01001830,Hackney 014C,8,2.01,10.58,1441,10.3,182,6,31290.0,324332.0
1784,E01001831,Hackney 009D,21,7.43,8.71,1290,11.1,149,3,30320.0,395000.0
1785,E01001832,Hackney 009E,10,3.58,6.48,1348,10.2,166,4,35140.0,408333.0
1786,E01001833,Hackney 014D,13,4.69,5.26,1686,11.6,190,7,34520.0,334167.0
1787,E01001834,Hackney 014E,21,3.46,5.05,1627,9.5,217,6,34440.0,351167.0
1788,E01001835,Hackney 014F,17,6.2,6.43,983,7.3,172,2,29750.0,397833.0
1789,E01001836,Hackney 022A,20,18.49,8.0,1354,13.2,147,6,39080.0,311333.0
1790,E01001837,Hackney 023B,27,14.78,7.38,1138,11.1,135,3,30210.0,314417.0
1791,E01001838,Hackney 019E,7,18.68,8.75,1076,6.9,245,16,33310.0,284624.0
1792,E01001839,Hackney 023C,19,18.58,3.67,1989,10.8,225,7,36320.0,301667.0
1793,E01001840,Hackney 022B,10,19.13,9.89,1149,10.9,157,11,29600.0,287483.0
1794,E01001841,Hackney 022C,29,21.95,11.54,1023,13.7,106,6,27960.0,493667.0
1795,E01001842,Hackney 023D,15,17.95,5.53,1150,6.5,249,11,27970.0,349333.0
1796,E01001843,Hackney 023E,14,18.98,7.9,902,7.4,171,8,38630.0,562500.0
1797,E01001844,Hackney 022D,22,20.71,5.77,1557,15.6,130,6,28740.0,439083.0
1798,E01001845,Hackney 022E,8,23.9,10.95,1034,11.1,140,11,35270.0,261292.0
1799,E01001846,Hackney 018A,16,38.58,14.14,795,54.3,22,7,37600.0,250667.0
1800,E01001847,Hackney 018B,24,28.64,7.74,832,10.6,111,10,38760.0,219125.0
1801,E01001848,Hackney 018C,17,26.15,11.26,1135,15.2,110,10,40090.0,327000.0
1802,E01001849,Hackney 018D,32,37.48,3.64,1782,49.6,48,12,38900.0,251000.0
1803,E01001850,Hackney 019F,8,23.27,6.52,1133,7.1,252,16,37650.0,173333.0
1804,E01001851,Hammersmith and Fulham 010A,17,10.29,7.97,1157,9.9,166,2,30620.0,1156667.0
1805,E01001852,Hammersmith and Fulham 007A,12,15.31,7.46,1468,7.5,235,2,40210.0,405000.0
1806,E01001853,Hammersmith and Fulham 007B,17,9.66,7.03,1152,8.2,185,2,34120.0,401983.0
1807,E01001854,Hammersmith and Fulham 007C,16,12.44,8.41,1355,6.6,257,3,37970.0,309983.0
1808,E01001855,Hammersmith and Fulham 010B,20,14.33,6.53,1328,7.7,211,2,36390.0,425667.0
1809,E01001856,Hammersmith and Fulham 010C,11,7.22,6.33,1246,8.3,203,6,43030.0,775385.0
1810,E01001857,Hammersmith and Fulham 007D,18,15.15,11.99,1069,7.1,211,7,38980.0,239833.0
1811,E01001858,Hammersmith and Fulham 006A,14,14.86,10.42,1349,12.5,143,5,44460.0,287000.0
1812,E01001859,Hammersmith and Fulham 008A,15,19.64,5.51,1922,10.7,244,8,39720.0,348917.0
1813,E01001860,Hammersmith and Fulham 006B,9,18.1,6.48,1342,8.6,205,8,37230.0,295000.0
1814,E01001861,Hammersmith and Fulham 006C,5,20.89,9.37,1050,7.5,193,6,39080.0,366600.0
1815,E01001862,Hammersmith and Fulham 005A,13,15.24,9.02,1286,9.1,188,6,37890.0,341658.0
1816,E01001863,Hammersmith and Fulham 006D,21,16.19,7.63,1146,8.3,188,4,29650.0,496375.0
1817,E01001864,Hammersmith and Fulham 006E,8,17.58,10.52,1157,7.4,210,3,36700.0,533000.0
1818,E01001865,Hammersmith and Fulham 008B,14,19.88,9.04,1237,11.7,141,5,29300.0,507500.0
1819,E01001866,Hammersmith and Fulham 012A,10,13.91,10.82,1180,15.0,101,2,38080.0,572833.0
1820,E01001867,Hammersmith and Fulham 012B,5,9.34,19.08,985,8.8,156,1,32380.0,318333.0
1821,E01001868,Hammersmith and Fulham 012C,7,13.12,9.69,943,6.0,219,8,41360.0,349500.0
1822,E01001869,Hammersmith and Fulham 010D,13,6.12,13.63,875,23.2,57,1,41970.0,1143750.0
1823,E01001870,Hammersmith and Fulham 012D,17,12.9,5.97,1572,10.1,181,3,32660.0,367167.0
1824,E01001871,Hammersmith and Fulham 012E,15,12.47,12.6,1266,13.1,124,2,31390.0,475750.0
1825,E01001872,Hammersmith and Fulham 012F,15,15.5,6.86,1306,7.1,223,2,31120.0,411500.0
1826,E01001873,Hammersmith and Fulham 010E,15,12.55,9.76,1048,6.2,233,6,36670.0,411500.0
1827,E01001874,Hammersmith and Fulham 001A,24,30.2,9.3,1547,97.4,21,5,33200.0,343750.0
1828,E01001875,Hammersmith and Fulham 001B,22,29.45,10.95,1203,16.9,108,12,39430.0,290333.0
1829,E01001876,Hammersmith and Fulham 001C,26,33.57,6.62,1566,89.5,25,13,34150.0,240167.0
1830,E01001877,Hammersmith and Fulham 001D,14,35.57,8.28,930,126.3,10,5,31810.0,263333.0
1831,E01001878,Hammersmith and Fulham 001E,16,30.56,9.8,1068,14.0,117,13,32470.0,322500.0
1832,E01001879,Hammersmith and Fulham 019A,18,14.56,9.01,1139,8.0,182,4,50050.0,497550.0
